,sentence,aspect_term,polarity,from,to
7253,"Not just that tapas was small portions (duh) but, for example, $10 piggy-back dates only came with 6 little appetizers.",portions,negative,30,38
7254,I went there for lunch with co-workers and found the service to be prompt and very friendly.,lunch,neutral,17,22
7255,"My hubby's a very picky eater, (plain, no condiments, no cheese, just salt pepper, and onions) and as busy as they were, they got it RIGHT THE FIRST TIME!!",condiments,negative,42,52
7256,Why would anyone ever go here when the same food (and menu) is double the price of Baba and Jaya in Chinatown.,food,neutral,44,48
7257,"While the bar is expansive, the ceilings are high, the tables are spacious and the plates are oversized, where is the food?",bar,positive,10,13
7258,"Not only is the sushi mostly stellar, you'd have to be a real bonehead to not take advantage of their cooked items.",items,negative,109,114
7259,"The noise level was unbearable , conversation impossible .",noise level,negative,4,16
7260,"Although the wait staff was friendly, the atmosphere was not.",atmosphere,negative,42,52
7261,I was here a few weeks back and we had the worst customer service experience at a restaurant ever .,customer service,negative,49,66
7262,I do not understand how this place can stay in business with its prices and quality of food.,food,neutral,87,91
7263,"The staff were friendly, but the food just wasn't that great.",staff,negative,4,9
7264,for ANYONE to come and take our dessert order (we had previously seen our waitress going outside for a cigarette break and never coming back).,waitress,negative,74,82
7265,The staff forgot my girlfriend's food altogether as she waited for half an hour.,staff,negative,4,9
7266,Their whitefish salad is excellent -- all whitefish with a little mayo .,whitefish salad,positive,6,22
7267,"I can't speak on the food, but I went there for a show the other week and here is my experience: one of the friendliest servers ever (no attitude); the drinks were avg.",servers,positive,120,127
7268,"Although Nobu requires a 2-3 month advanced reservations, it's worth the wait!",wait,positive,73,77
7269,"Perfect place to bring a date before the theater, a mother/ grandmother/ or aunt for their birthday, or friend for lunch.",lunch,neutral,115,120
7270,The lamb meat was under-cooked and EXTRMELY CHEWY.,lamb meat,negative,4,13
7271,"The Food The pan-Italian menu forgoes the appetizer-entree format in favor of fairly priced small plates, which quickly add up.",Food,neutral,4,8
7272,"We only ordered desserts and drinks, but no refills were offered.",desserts,neutral,16,24
7273,The menu is varied but I think it is the chicken which they do best as.,chicken,positive,41,48
7274,I have to say that if this what makes it easier to get a saet a lunch- I dont mind.,lunch,neutral,64,69
7275,I had oysters for my appetizer and the Turbot with a delicate creamy lemon sauce with a hint of dill for dinner.,creamy lemon sauce,positive,62,80
7276,"Best Chinese on the Upper East, prompt delivery, good value.",delivery,positive,39,47
7277,"they continue to expand their garden space, w/out expanding their kitchen and cannot provide even adequate service.",service,negative,107,114
7278,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats .,root vegetables,positive,35,51
7279,I had dinner with 5 friends at Blue Smoke last night and was totally impressed with the way the food has developed.,dinner,neutral,6,12
7280,"It is the only all Austrian wine list in the country and the waitress gladly broke it down for me, so I could find just the right wine for my meal.",wine list,neutral,28,37
7281,"), but our waiter was had a horrible attitude, couldn't remember to bring lemon for our water, or soy sauce for our sushi rolls, the food was wonderful, but unfortunately the service ruined our visit.",soy sauce,neutral,98,107
7282,The food was mediocre at best but it was the horrible service that made me vow never to go back .,food,neutral,4,8
7283,"I dined there on a Wednesday night, the restaurant was practically empty, and we had to ask our waiter for everything, the menu, more water, the check, etc.",menu,neutral,123,127
7284,"oh, and if you're there for drinks at 3:30 on a weekday afternoon, when the place is empty - and ask for a bread basket - they'll charge you $6.",place,negative,76,81
7285,I chose Guastavinos for my wedding reception dinner (for 19 of us) and planned it through their private dining staff.,reception dinner,neutral,35,51
7286,Price and quality of fish alone will keep us from making a return visit.,Price,negative,0,5
7287,"When one purchases a bottle of wine, it's fairly common practice for a server to come by and refill your glass, but not the case here; 2.",glass,neutral,105,110
7288,"While we thoroughly enjoyed the food, it was annoying to scream across the table for conversation.",food,positive,32,36
7289,i recently had brunch at the new hill diner let me tell you it was great.,brunch,positive,15,21
7290,"Entrees are right around $10, with fried rice and noodles being a little cheaper.",Entrees,neutral,0,7
7291,My boyfriend had Prime Rib it was good .,Prime Rib,positive,17,27
7292,"My host asked for appetizers for the group and the waiter gave us not only what we ordered, but some other items that were not ordered.",host,neutral,3,7
7293,The Food Palm dry ages its steaks--as opposed to vacuum packing--and the result is evident.,Food,negative,4,8
7294,I 've had my fair share of modern Japanese and this spot delivers .,modern Japanese,positive,27,43
7295,"The bibimbap was average , but the stone bowl was n't even close to sizzling .",stone bowl,negative,35,46
7296,The front desk is disorganized (couldn't find my reservation made a week in advance); service is below-par; food is just so so; the most expected dessert turned out to be disappointed.,reservation,neutral,49,60
7297,(try the Queso Fundido and fire) Upstairs there is a dining room which is decorated with brightly colored mexican theme.,Queso,neutral,9,14
7298,as an appetizer we had some amazing citrus shrimp and for our main courses we each got a pasta dish.,citrus shrimp,positive,36,49
7299,We decided to ask for our check for the wine we had and the waiter became completely annoyed at us!,waiter,negative,60,66
7300,I will have to say the food was good and the chance to sample wines not often found in other restaurants was a positive but the abyssmal service left a bad taste.,service,negative,137,144
7301,"The bread was served, one razor thin slice on our bread plate, by the waiter.",waiter,negative,70,76
7302,Aperitif was the Casablanca; it was served carelessly with ice chunks large enough to sink the Titanic.,ice chunks,neutral,59,69
7303,"Of course this atmosphere is lacking, but what do you expect from a 24 hour bagel place anyways?",atmosphere,negative,15,25
7304,The food was then rushed unappealing never once were we asked if we'd like a a second bottle of water let alone a second drink.,food,negative,4,8
7305,"At one point my friend knocked over a glass and broke it to pieces, and the waitstaff was so forgiving of it.",waitstaff,positive,76,85
7306,Try their plain pizza with fresh garlic or eggplant.,plain pizza,positive,10,21
7307,Our tiny table for two ( dinner plates hung over edge ) was right in the middle of one of the lanes of waiter traffic .,table,negative,9,14
7308,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",meal,positive,65,69
7309,The chef who is a bundle of personality came to tell us all about the special menu for the wine room.,wine room,neutral,91,100
7310,"The bar is available while you waiting for the table, the DJ is nice.",bar,neutral,4,7
7311,"If you go, try the marinara/arrabiatta sauce, the mozzarella en Carozza is mmmmmmmm.",mozzarella en,neutral,50,63
7312,But despite that our dinner took far too long to be served.,served,negative,52,58
7313,"The Scene The bar's upbeat Latin music, colorful stools and cocktail napkins, and a fruity drink menu are the first confirmations that Agozar lives up to its translation: A good time.",Scene,neutral,4,9
7314,Although we were looking for regular lettuce and some walnuts the salads we got were great .,salads,positive,66,72
7315,"The waitstaff briskly plunks down dishes that take alarmingly little time to make, which, in addition to dumplings, include sizzling platters of meat and lo mein noodles.",dishes,neutral,34,40
7316,All this Asian fusion craze leaves one feeling like they should've went to an authentic Thai or Indian restaurant for probably 1/3 of the price of Spice Market.,Thai,positive,88,92
7317,The sushi is always fresh and yummy and the menu is pretty varied.,sushi,positive,4,9
7318,This is of course after waiting forever for menus and eventually having to ask for them.,menus,neutral,44,49
7319,"This is the local spot where we can always count on for a great brunch, a California Burger, the best fries or their carrot dressing for salads.",carrot dressing,neutral,117,132
7320,Bread had a oil on it so it was messy.,Bread,negative,0,5
7321,My next thought was god i could use a few drinks and a bathroom.,bathroom,neutral,55,63
7322,"Delicate spices , onions , eggs and a kick-ass roti .",spices,positive,9,15
7323,"Overall, I'm still impressed that the place even exists and the prices are quite decent but then again, its Chinatown.",prices,positive,64,70
7324,Food is decent but portions are so tiny and the whole meal is served on huge plate which makes it look even more ridiculous.,portions,negative,19,27
7325,"Since it's a small place, it's best to get there early for dinner as the wait can be quite long if you don't make a reservation.",wait,negative,73,77
7326,Had a late night dinner on a Saturday night.,dinner,neutral,17,23
7327,"If you want good tasting, well seasoned latin food eat at Cabana and you can't go wrong.",latin food,positive,40,50
7328,Even though the place was more than half empty he refused to do so because we had already given our order to the waiter and a change of tables would cause too much confusion.,place,negative,16,21
7329,"I'm a chef (30 years), and I can honestly say that I've finally found Italian food worth eating at a reasonable price.",chef,neutral,6,10
7330,"We got seated right away, We got a nice starter from the kitchen, unfortunately the waiter that brought it could not explain what it was, it was delicious though.",starter,positive,40,47
7331,"The other side of the menu offers chicken, veal, and seafood standards, including perfect saltimbocca and a huge, succulent veal chop.",saltimbocca,positive,90,101
7332,"In the 20 minutes we spent waiting just for a server to take our wine order, the host of this establishment proceeded to let couple after couple walk right in in-front of us because he obviously knew them.",host,negative,81,85
7333,"The wine list is short and the wine glasses suck (not spigleau or riedel, in addition they are small for the big italian wines on the menu).",menu,neutral,134,138
7334,"The slices are pricey for the neighborhood (and always has been), but the fact that it is always packed attests to the value.",slices,positive,4,10
7335,"The place is sleek , modern and playfull and i will return again frequently .",place,positive,4,9
7336,"I also do not think waiters there are rude- yes there are not friendly and chatty, but do provide great service.",service,positive,104,111
7337,The mussles had be be a portion of maybe 8-9 mussles only and the gnocci were basically all garlic- garlic is just meant to be a condiment- way tooo much garlic.,portion,neutral,24,31
7338,It would have been nice to find that out on the website but it took us an hour of waiting for Godot before calling and being told the news that no lunch was prepared for us.,lunch,negative,147,152
7339,"The space is a bit cramped and the waitress seemed to avoid eye contact at all costs, however, I would recommend you go just for the food.",food,positive,133,137
7340,"The food *was* pretty good, though, (though certainly not worth the prices) so it's worth checking out if you have an expense account to work with.",prices,negative,68,74
7341,The music which is sometimes a little too heavy for my taste.,music,negative,4,9
7342,"Few styles of cooking place such an importance on texture--baby eels in a sizzling slick of oil, for example, is nudged just a shade away from pasta by the crackle of tiny bones under your teeth.",oil,neutral,92,95
7343,I love the fact that the pizza tastes so good and is so cheap .,pizza,positive,25,30
7344,50 a better meal on the go than pizza.,pizza,neutral,32,37
7345,"Each bite of food at Kai was indeed delicious , fresh , and elegant .",food,positive,13,17
7346,"Despite a lovely atmosphere, this was perhaps the worst dining experience I've had in New York.",atmosphere,positive,17,27
7347,"I used to live in Japan, and have had some pretty good raw fish, but I was blown away by the Chef's tasting plate, which includes 6 appetizers including a stunning octopus portion and some incredible sashimi.",Chef,neutral,93,97
7348,"The food was not very tasty , the portioins were tiny even for such a high quality restaurant .",food,negative,4,8
7349,"Well, no secret that a brunch here on Saturday or Sunday will be a long wait - but once you bite into those pancakes, it will have been worth every minute.",pancakes,positive,108,116
7350,"The choices on the menu were very limited-discounting raw items, there were practically no appetizers The foie gras de canard was mediocre with a syrupy sauce.",choices,negative,4,11
7351,"Only wine and beer are served , but the house varities are actually quite good .",wine,neutral,5,9
7352,The stuff tilapia was horrid ... tasted like cardboard .,stuff tilapia,negative,4,18
7353,"Our waiter was a bit weird as well, but the lounge area looked like a nice place to get a drink after work.",drink,neutral,90,95
7354,"then, the waiter had nerve to charge me for the fruit salad and bloody mary (which we didn't drink) that came with the omelet (brunch special).",fruit salad,neutral,48,59
7355,However service was quite slow for a lunch hour.,lunch,neutral,37,42
7356,"the soups were superb and only $2 a bowl, and the entire dinner, with beers, cost less than $30 for two people.",bowl,neutral,36,40
7357,"On each of my several visits, the crowd is local, professional, family and those who are not familiar with the cuisines of India are deftly walked through the menu by management.",cuisines,neutral,111,119
7358,"the filet came out and was absolutely delicious, on a bed of julienned vegetables in a balsamic vinagarette sauce.",filet,positive,4,9
7359,My daughter 's wedding reception at Water 's Edge received the highest compliments from our guests .,Water 's Edge,positive,36,51
7360,"i have been waiting for 15 mn ( no food menu , no cocktail menu , no one even say hi to me ).",food menu,negative,35,44
7361,I have gotten warmer and much friendlier welcome and outstanding service at the other Thai restaurants in the Greenpoint area.,welcome,positive,41,48
7362,"The service was bad, the food took to forever to come, we sat on the upper level.",service,negative,4,11
7363,"Though the menu includes some unorthodox offerings (a peanut butter roll, for instance), the classics are pure and great--we've never had better sushi anywhere, including Japan.",menu,neutral,11,15
7364,"Ive been to many Thai restaurants in Manhattan before, and Toons is by far the best Thai food Ive had (except for my mom's of course).",Thai food,positive,84,93
7365,The service was attentive and her suggestions of menu items was right on the mark.,service,positive,4,11
7366,"All of the dishes we had were very good, but the fries were a little on the salty side, which we actually didn't mind.",fries,negative,49,54
7367,I have been dining at Narita for 6 years and have thoroughly enjoyed every meal.,meal,positive,75,79
7368,Obviously we did not get right service and nobody said soory for that and other restaurant guests who came after us got quicker dish than us.,dish,positive,128,132
7369,"For example, the last time I was there the bartender seemed visibly irritated that I would ask him for a drink instead of the waitress.",drink,neutral,105,110
7370,"The spicy tuna roll was unusually good and the rock shrimp tempura was awesome , great appetizer to share !",spicy tuna roll,positive,4,21
7371,"The food was good but it will not make up for the negligent, rude, condescending and hostile service with the full support of their management we received.",food,positive,4,8
7372,"It saves walking in and waiting for a table in the often noisy , crowded bar at dinnertime .",bar,negative,73,76
7373,I loved everythig about it-especially the shows and actors .,shows,positive,42,47
7374,"Love the pizza here (although the slices aren't as fresh at 3am, but who's that picky when you're drunk), and there's plenty of other good stuff.",stuff,positive,139,144
7375,Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price .,meal,positive,99,103
7376,"The service is disorganised, no one gave us a menu for 15 mins once we were seated, but after that it went smoothly enough but no where near the stella performance of many half as pretensious restaurants.",service,negative,4,11
7377,There is actually space to breathe and the decor sets the tone for an intimate dinner .,space,positive,18,23
7378,"The wait here is long for dim sum , but if you do n't like sharing tables or if the typical raucous dim sum atmosphere is not your gig , this is a sleek ( for Chinatown ) alternative .",wait,negative,4,8
7379,"There restaurant is very casual, but perfect for lunch, and their delivery service is always very fast.",delivery service,positive,66,82
7380,"The food was good but it will not make up for the negligent, rude, condescending and hostile service with the full support of their management we received.",service,negative,93,100
7381,"Oh, and kudos to the hostess who appeared out of thin air with extra napkins just moments after a glass of water was knocked over - she's upping the bar on service here.",hostess,negative,21,28
7382,I asked repeatedly what the status of the meal was and was pretty much grunted at by the unbelievably rude waiter.,waiter,negative,107,113
7383,"All of us enjoyed our meal, and for the price (~$185, w/ taxtip, 2 bottles of wine, 1 appetizer each, plus entrees) it was pretty impressive.",bottles of wine,neutral,67,82
7384,The waitress/hostess seemed a bit sad when we told her we weren't ordering dessert (those arepas are deceptively filling!,waitress/hostess,negative,4,20
7385,"Well, it happened because of a graceless manager and a rude bartender who had us waiting 20 minutes for drinks, and then tells us to chill out.",manager,negative,41,48
7386,I really recommend the very simple Unda (Egg) rolls.,Unda (Egg) rolls,positive,35,51
7387,If you can get a corner table you can see the entire room while eating in elegance.,room,positive,53,57
7388,"Although the mediterreanian plate was delicious, it was NOT what I'd expect from a tea salon.",mediterreanian plate,positive,13,33
7389,"The waitress didn't seem to know anything about the menu, she forgot our drinks, took away our wine list after I asked to keep it, and then said, I'm sorry, I only slept 3 hours last night.",waitress,negative,4,12
7390,"Lousy, hard as a rock home made potato chips that could slice a tomato as well as a soda can.",soda can,neutral,84,92
7391,"The choices on the menu were very limited-discounting raw items, there were practically no appetizers The foie gras de canard was mediocre with a syrupy sauce.",choices,negative,4,11
7392,Metrazur has a beautiful spot overlooking the main terminal .,spot,positive,25,29
7393,"From the bottomless cup of coffee to the basket o' scones mini-muffins to the delicious entrees, Dizzy's is the place to be.",cup of coffee,positive,20,33
7394,"And forget what you read under me , the atmosphere is n't that bad either .",atmosphere,neutral,40,50
7395,"The thin organic burger lacks the flavor of a prime beef patty, requiring add-ons like cheese (cheddar, Swiss or soy-based), bacon (maple-cured or faux) and grilled onions.",thin organic burger,neutral,4,23
7396,"Based on the reviews for dinner, this is a place I would reconsider revisiting for that, but definitely not for Dim Sum again.",Dim Sum,negative,112,119
7397,"After reading all the reviews here and many glowing recommendations on food blogs, I thought I MUST try this pizza!",pizza,positive,109,114
7398,"Even better , they know how to cook French classics like Steak au Poivre and Onglet without burning it to death or overcooking it .",Steak au Poivre,positive,57,74
7399,The wine list is extensive and can easily hike up an otherwise reasonably priced meal .,wine list,positive,4,14
7400,good place to hang out during the day after shopping or to grab a simple soup or classic french dish over a glass of wine.,place,positive,5,10
7401,The chef even came out with a sample some new appetizers he's working on (the tuna tartare is a keeper!,chef,positive,4,8
7402,Yet the maitre d still sat us next to the bar.,maitre,negative,8,14
7403,We got in line and were served while in line a bannan fritter.,bannan fritter,neutral,47,61
7404,Why make a reservation if you are n't going to keep it ?,reservation,negative,11,22
7405,"If you've been out partying and have a yen for quality Korean food at 3:00am, there's a table waiting for you at Kang Suh Restaurant.",table waiting,neutral,88,101
7406,Seated by a moody hostess and presented a menu that included live food-samples.,menu,neutral,42,46
7407,We stumbled onto this diamond in the rough after our dinner plans at Schiller's were thwarted by a 90 minute wait.,wait,negative,109,113
7408,I was here a few weeks back and we had the worst customer service experience at a restaurant ever.,customer service,negative,49,65
7409,One waitress was downright rude when we asked for the check.,check,neutral,54,59
7410,The staff is very sharp and they look good too.,staff,positive,4,9
7411,Without reservations on a Friday night at 8:30 I was promptly seated and given top-notch recommendations from both the host and my waiter.,reservations,neutral,8,20
7412,"As I was paying the bill, the waiter would look over my shoulder to see how much tip I would be giving as where I could almost feel him breathing on my ear.",bill,neutral,20,24
7413,"Dessert - can't be missed, so save room!!!",Dessert,positive,0,7
7414,Dominic will give you the ambience of the old times when they were all immigrants and good food was equivalent of good friends and unforgettable times.,ambience,neutral,26,34
7415,"The hamburger showed up long before the mussels, and the waiter suggested I start eating because he didnt want my food to get cold.",mussels,neutral,40,47
7416,The Egg and Cheese on a bagel here is HUGE.,bagel,neutral,24,29
7417,I had to wait for my friend at the bar for a few minutes,bar,neutral,35,38
7418,We made reservations for 6pm on Friday and it was not necessary BUT the place got packed really quick around 7-8pm.,place,negative,72,77
7419,"The service varys from day to day - sometimes they 're very nice , and sometimes not .",service,negative,4,11
7420,"The ribs superb, the steak, the chicken wings, the french fries, the hamburger.",steak,neutral,21,26
7421,"From the goat cheese and caperberry dish to hangar steak to pancottas, the food was amazing!",goat cheese,neutral,9,20
7422,They have authentic Indian at amazin prices .,Indian,positive,20,26
7423,"Even when the place has been packed with tables (I saw a party of 12 in there last time), the waiters and bartenders are still nice.",waiters,positive,94,101
7424,"We received our food and coffee at the same time, and couldn't get the attention of any waiter to refill our cups.",waiter,negative,88,94
7425,Philippe should re-train their wait staff to communicate with one another and better orchestrate the timing of food service.,wait staff,negative,31,41
7426,"The host was aloof; my waitress, though sweet, didn't seem to know the food or the menu very well; and the waiter we flagged over to order our wine seemed as if he had never looked at the wine list before.",host,negative,4,8
7427,We get treated very well and before we sit down to our steaks and fried green tomatoes that we love there - we have a few beers at the bar.,bar,neutral,135,138
7428,They have some great entrees here as well .,entrees,positive,21,28
7429,Ingredients are organic which is a real plus for me.,Ingredients,positive,0,11
7430,"For appetizers, we shared summer rolls and spring rolls - they were good, not great.",appetizers,neutral,4,14
7431,"some sweaty so frazzled, when we returned both an app and entree, the manager didn't even come to speak to us.",manager,negative,70,77
7432,"I KEPT WAITING FOR THE FLAVORS IN THIS RICH LOOKING SAUCE TO TAKE OVER, BUT THEY DID NOT, THE SCALLOP WAS A LITTLE RUBBERY.",SAUCE,positive,52,57
7433,"Unfortunately for them, we would have ordered twice as many drinks if we didn't have to wait half an hour for the waitress between every drink.",waitress,negative,114,122
7434,"While the environment is still fun and diverse, the food quality has been sliding lately.",food quality,negative,52,64
7435,"I tend to judge a sushi restaurant by its sea urchin , which was heavenly at sushi rose .",sea urchin,positive,42,53
7436,"It's also attached to Angel's Share, which is a cool, more romantic bar...",bar,positive,68,71
7437,"Management had always been rude, but without the great staff as a buffer, Jesse's is just another pubby place with poor decor and average food.",food,neutral,138,142
7438,The place got really crowded around 8ish when I went right before Christmas so reservations might be necessary.,place,negative,4,9
7439,Went here for a casual Sunday night dinner at 7:45pm; dinner was served at 10:15pm!,served,negative,65,71
7440,"The deli-diner-soul-food menu, featuring everything from matzo balls to barbecued chicken and ribs to 10-ounce burgers, is available until late.",menu,positive,25,29
7441,"The server seemed drunk, he forgot mixed up our food with some other table, ignored our requests for more water, drinks etc.",server,negative,4,10
7442,"last time, the waiter told my roommate he'd have to charge her $5 for mushrooms as one of her omelette choices (never heard that at my other favorite brunch places.",places,positive,157,163
7443,"They offer a sushi bar with very fresh fish, and the side dishes are excellent.",sushi bar,neutral,13,22
7444,The staff was gracious enough to keep her arrival a secret by letting us wait at the bar and holding our table for us until she and our father arrived 45 minutes late (delayed flight).,bar,neutral,85,88
7445,They need to change the overall decor if they want to get a serious dinner crowd though.,dinner,negative,68,74
7446,my personal favorite is the meat pie (which uses meat sauce instead of regular marinara sauce).,meat pie,positive,28,36
7447,"Their sake list was extensive , but we were looking for Purple Haze , which was n't listed but made for us upon request !",sake list,positive,6,16
7448,I take all my NYC guests to VT 's .,VT 's,positive,28,34
7449,"Pupusas, filled with pork, beans, chicken or cheese, are sumptuous pancakes bursting with the flavor of fresh corn.",pancakes,positive,67,75
7450,The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.,miso soup,neutral,4,13
7451,"I tried that on a Friday, told the guy otside the door that I did not have a reservation and he said, You may as well just leave now.",reservation,neutral,77,88
7452,"The waiter was nice once he got to us, it took about 5 minutes to get a glass of water and someone to get us started even though it was very slow.",waiter,positive,4,10
7453,"I have eaten at Saul, many times, the food is always consistently, outrageously good.",food,positive,38,42
7454,"After all that , they complained to me about the small tip .",tip,negative,55,58
7455,"Don't go for the decor or the location, go for the food!",food,positive,51,55
7456,"mistake on the check, overly salty morels stuffed with foie gras) but overall, Daniel's dishes are revelations in taste.",check,neutral,15,20
7457,The food was mediocre and the service was severely slow.,service,negative,30,37
7458,"As there were so many to choose from we wandered up and down the street looking in the windows and such noticicing many empty seats , except at Taj Mahal .",seats,negative,126,131
7459,This place is worth going even if only for their beer .,beer,positive,49,53
7460,PLUS the best wine can be found in the bar but they refused to sell us a bottle!!,wine,positive,14,18
7461,We stumbled onto this diamond in the rough after our dinner plans at Schiller's were thwarted by a 90 minute wait.,wait,negative,109,113
7462,The atmosphere is bland and non-descript and the service is fine.,service,positive,49,56
7463,"Good atmosphere , combination of all the hottest music dress code is relatively strict except on Fridays .",atmosphere,positive,5,15
7464,"I'm not a drinker, and I find that the waiters usually blow us off and ignore us once we don't spend a lot of money ordering wine, and the water takes a while to get re-filled, but the food is good enough that we return.",wine,neutral,125,129
7465,"I was not allowed to transfer my credit card to the table, and was treated disgracefully while the hostess waited for the bar to sign off my card.",hostess,negative,99,106
7466,"The sevice and food were excelent, but at the bottom of the menu were the words, cash only.",menu,negative,60,64
7467,we saw another waitress spill hot coffee on another diner's foot.,waitress,negative,15,23
7468,"Every time I eat there I feel as if the chef and waitstaff have cooked, prepared and served a meal as if I am the only customer/guest.",meal,neutral,94,98
7469,) My date and I were greeted by the host and informed there would be a slight wait.,wait,neutral,78,82
7470,The waitstaff can be hard to track down and uninformed about the menu.,menu,neutral,65,69
7471,When your overzealous kitchen brings out the food all at once way too quickly how about apologizing and have the manager come over.,overzealous kitchen,neutral,10,29
7472,"I wouldn't even have complained at all if the food at least tasted good but the quality of food was crappy, too.",food,negative,46,50
7473,"Bottom line : B + for the food , F for the service .",service,negative,43,50
7474,"When spending upwards of $200 for dinner for two, I expect better service.",service,positive,66,73
7475,Taj Mahal offeres gret value and great food .,value,positive,23,28
7476,When we were finally seated our waitress came by twice-1 for our order and 2-for our check.,waitress,negative,32,40
7477,"warm orangey glow, nice old mexican prints, wee bar that my bf and i vowed to go back and linger at.",bar,neutral,48,51
7478,"The Food Brasserie favorites are prepared by the book: Onion soup gratinee bubbles with a thick layer of Gruyere cheese, and grilled shell steak is served medium-rare, with a side of crisp shoestring potatoes.",Onion soup gratinee,neutral,55,74
7479,The appetizers are just OK and the main courses were decidedly subpar.,main courses,negative,35,47
7480,"the COOKED STUFF were OVERCOOKED, the lobster tail was DRY, and CRAB melted in your mouth like mashed potatoes, the salads and dessert looked like they were lunchtime leftovers.",lobster tail,negative,38,50
7481,The birthday girl's dessert included a candle the staff came by with birthday wishes.,staff,positive,50,55
7482,We walked in on a Wednesday night and were seated promptly .,seated,positive,43,49
7483,The waitress had an ongoing diatribe with a waiter the whole time she served us-it was ALL BAD!!,served,negative,70,76
7484,"The atmosphere is still to die for, but the wine list has so clearly been pared down and marked up (as a result of higher foot traffic brought in by lots of rave reviews in local publications, perhaps?",wine list,negative,44,53
7485,Our tiny table for two (dinner plates hung over edge) was right in the middle of one of the lanes of waiter traffic.,table,negative,9,14
7486,Serving things like Chicken Kiev with a garlic mashed potato egg roll for $$ with the snooty attitude to match!,attitude,positive,93,101
7487,The oysters were warm as was the sushi that was served over dry rice.,oysters,positive,4,11
7488,We ended the dinner with a surprisingly light and flaky apple tarte tatin.,apple tarte tatin,positive,56,73
7489,"This place is pricey, and yes, the food is worth it; but the service makes you feel like you should be paying a quater of the price.",service,negative,61,68
7490,"Even though the place is not beautiful , the food speaks for itself .",food,positive,45,49
7491,I went to DF for Valentines Day dinner.,Valentines Day dinner,neutral,17,38
7492,"The regular entrees and desserts here are excellent, with truly unusual sides and garnishes that make for brilliant flavor combinations with the central meat or fish.",central meat,neutral,145,157
7493,"The wait staff had good recommendations and when i broke a wine glass, they reacted in a way to put me out of my embarrassment quickly and even filled me a new glass of wine.",glass of wine,neutral,160,173
7494,The only thing more wonderful than the food (which is exceptional) is the service.,food,positive,39,43
7495,Here you get the zen feel without feeling rigid .,zen feel,positive,17,26
7496,The raspberry/marscapone-stuffed pancakes are so divine it's actually worth putting up with the rude and incompetent service.,service,negative,117,124
7497,Everytime I go there I can't pick anything to eat and not because the menu is filled with great things to eat.,menu,negative,70,74
7498,the two waitress's looked like they had been sucking on lemons.,waitress's,negative,8,18
7499,"On the other hand, I never felt rushed to vacate the place at the end of my meal.",meal,neutral,76,80
7500,"We were hassled about seating by our waiter who seemed at the end of his pony-tail, so we opted for the bar, quaintly decorated with giant fly strips.",waiter,negative,37,43
7501,The waiter came back after I had finished my appetizer to correct himself and let me know that it wasn't vegetarian (chicken stock) after all.,appetizer,neutral,45,54
7502,The food is usually good but it certainly isn't a relaxing place to go.,place,negative,59,64
7503,"If you want to avoid the long lines, arrive at 5:00 PM and have an early dinner.",dinner,neutral,73,79
7504,you may have to wait a bit for service but you will not be disappointed with the food.,service,negative,31,38
7505,After we finished our salad our waitress told us that they had run out of roast lamb and pastitichio.,waitress,negative,32,40
7506,"After two terrific meals in the dining room, we opted to sit at the bar on our third visit.",dining room,neutral,32,43
7507,"Granted the space is smaller than most , it is the best service you will find in even the largest of restaurants .",service,positive,56,63
7508,"On my first visit, I asked the waiter to please wrap my leftovers and was refused adamantly (he told he wasn't allowed to package the low-priced food).",waiter,negative,31,37
7509,"There are a few chefs who aren't very enthusiastic and not very theatrical, but the end product is always great food.",chefs,negative,16,21
7510,"I 've been to at Cafe Spice probably 5-8 times , it is probably still the best Indian restaurant around Union Square .",Cafe Spice,positive,17,28
7511,The manager was rude and handled the situation extremely poorly .,manager,negative,4,11
7512,"We asked the waitress very nicely to please change the playlist to something more appropriate for dinner, she chuckled to herself and said sure but never changed it.",dinner,neutral,98,104
7513,It was more than enough food even though the portions are tiny.,portions,negative,45,53
7514,"Upon explaining, the waiter confronted us as we left and spewed a stream of profanities at us as we walked out the door.",waiter,negative,21,27
7515,"The portions are now very small , the sauces are overly-ambitious usually inedible while the service is still good , the restaurant , due to its popularity , seems frantic .",service,positive,93,100
7516,Yeah Shanghai is also great but not quite as good -- they use the same amount of salt but without sweetness to balance out.,salt,negative,81,85
7517,"Got a seat quick, and had some weird fill-out order form for a hard to understand menu.",seat,positive,6,10
7518,"Maybe go there for the view, but don't bother eating there, go to the bar.",bar,neutral,70,73
7519,"Roof: very nice space (although I know 5 other rooftop bars just as good), but the crowd was a bunch of posers and the owner was a tool.",posers,neutral,104,110
7520,"On my first visit, I asked the waiter to please wrap my leftovers and was refused adamantly (he told he wasn't allowed to package the low-priced food).",waiter,negative,31,37
7521,jazz singer had a nice voice + she made us all get up to dance to shake some cals to eat some more.,jazz singer,positive,0,11
7522,"No specials and no crab limited the menu choices, and the toast for my (very average) foie gras arrived 5 minutes after the rest of the food, and was cold and burnt.",specials,negative,3,11
